DHSID,minor_roads_count,minor_roads_length,nocars_roads_count,nocars_roads_length,small_roads_count,small_roads_length,major_roads_count,major_roads_length,links_roads_count,links_roads_length,unknown_roads_count,unknown_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
TG201300000059,172.0,199352.76830143709,204.0,46856.23952280795,69.0,18646.758127430192,5.0,44128.07467015528,0.0,0.0,0.0,0.0,205072360,0.32223029895586064,559136126,0.31639839184335805,544769258,0.3247217598500305,168448942,0.32356211479139674,667678998,0.3323817896525982,930159554,0.4283598129305009,308983.84062183055,450.0,0.31639839184335805
TG201300000060,4.0,441.25344252934,1.0,58.97207396535935,5.0,5695.65755431421,2.0,410.805740230981,0.0,0.0,0.0,0.0,246412420,1.1269830325096395,460034143,1.1262582355177861,853233196,1.1270600255472165,447746188,1.1366240277441677,644490866,1.5363796348974892,873262814,1.867927865990389,6606.68881103989,12.0,1.1262582355177861
TG201300000061,40.0,15236.841810449234,2.0,203.6894932470221,4.0,3412.54594802508,19.0,70804.62582419232,1.0,630.4155805316608,0.0,0.0,393003688,0.05160040649129576,393006232,0.08732984641128771,393006059,0.0865212426253271,218877577,0.003670609947251503,331761934,0.19226878189503596,410309485,0.5298736116428533,90288.11865644531,66.0,0.003670609947251503
TG201300000062,232.0,84983.40709969844,6.0,2658.844531795402,18.0,4125.106231206232,2.0,1977.9412379695452,0.0,0.0,0.0,0.0,513247406,0.9972584354765746,917519956,1.1311548291413431,511443805,1.0215281447489204,185503759,1.1535363213697742,685773665,1.38948767931411,873262814,1.722962873866521,93745.29910066961,258.0,0.9972584354765746
TG201300000063,280.0,88924.74155350366,175.0,29126.251212482326,48.0,4438.459718933201,18.0,27842.272874022787,0.0,0.0,0.0,0.0,220462326,1.016762027738196,917519956,1.1424153857584796,959176504,1.0609053811925717,381164739,1.1511218172869426,685773665,1.3937223438312105,873262814,1.6651693905583849,150331.72535894197,521.0,1.016762027738196
TG201300000064,931.0,633227.5532494854,119.0,69593.43066862915,259.0,240550.811628026,108.0,186004.12220477054,8.0,33453.42736119521,0.0,0.0,181382692,0.0002220594220388553,235079095,0.020053621465371096,955227112,0.010070203801387251,235079057,0.02018485675057198,630810014,0.11741158898773488,410309485,0.3115340802761131,1162829.3451121063,1425.0,0.0002220594220388553
TG201300000065,174.0,87089.82341174551,143.0,37937.543792497236,8.0,1459.7956777173506,1.0,78.47127503757982,0.0,0.0,0.0,0.0,246412420,1.5077468070736453,460034143,1.5152777424256065,1008778873,1.513314337803469,447746188,1.4783185885087275,644490866,1.8844518665177843,873262814,2.2631629379436053,126565.63415699768,326.0,1.4783185885087275
TG201300000066,4.0,1417.3681390863244,0.0,0.0,0.0,0.0,3.0,1362.27391520746,0.0,0.0,0.0,0.0,360370435,0.00935999308424365,360370430,0.013999058170305704,360370426,0.01434802677029507,251145702,0.03545410482619841,976237866,0.2365351415737654,930159553,0.6417849377618311,2779.6420542937844,7.0,0.00935999308424365
TG201300000067,683.0,443191.4462931141,50.0,110177.55643951928,144.0,182645.55344965102,81.0,119430.03797499693,3.0,27311.86642258138,0.0,0.0,372155949,0.572999744046487,372171552,0.6241038543910836,436909294,0.7388505080545027,171809806,0.6346137583399709,690365460,1.306828257965973,410309485,1.850762463230214,882756.4605798627,961.0,0.572999744046487
TG201300000068,93.0,57367.69711573657,7.0,1382.4014369389536,19.0,5332.326703999843,23.0,86975.32562885847,2.0,8831.538269510627,0.0,0.0,401758683,0.002883280649219355,401752337,0.0004921263280149213,401762799,0.0027700116977960633,185036246,0.004734920957947141,690366990,0.3418707192762915,410309485,0.7444199702583708,159889.28915504448,144.0,0.0004921263280149213
