DHSID,water_transport_count,air_transport_count,ground_transport_count,all_transport_count
KE201400000469,0.0,0.0,0.0,0.0
KE201400000470,0.0,0.0,0.0,0.0
KE201400000471,0.0,2.0,1.0,3.0
KE201400000472,0.0,2.0,0.0,2.0
KE201400000473,0.0,0.0,0.0,0.0
KE201400000474,0.0,1.0,0.0,1.0
KE201400000475,0.0,0.0,0.0,0.0
KE201400000476,0.0,0.0,0.0,0.0
KE201400000477,0.0,0.0,0.0,0.0
KE201400000478,0.0,0.0,0.0,0.0
KE201400000479,0.0,0.0,0.0,0.0
KE201400000480,0.0,0.0,0.0,0.0
KE201400000481,0.0,0.0,0.0,0.0
KE201400000482,0.0,0.0,0.0,0.0
KE201400000483,0.0,0.0,0.0,0.0
KE201400000484,0.0,0.0,0.0,0.0
KE201400000485,0.0,0.0,0.0,0.0
KE201400000486,0.0,0.0,0.0,0.0
KE201400000487,0.0,0.0,0.0,0.0
KE201400000489,0.0,0.0,0.0,0.0
KE201400000490,0.0,0.0,0.0,0.0
KE201400000491,0.0,0.0,0.0,0.0
KE201400000492,0.0,0.0,0.0,0.0
KE201400000493,0.0,0.0,0.0,0.0
KE201400000494,0.0,0.0,0.0,0.0
KE201400000495,0.0,0.0,0.0,0.0
KE201400000496,0.0,0.0,0.0,0.0
KE201400000497,0.0,1.0,0.0,1.0
KE201400000498,0.0,0.0,0.0,0.0
KE201400000499,0.0,1.0,0.0,1.0
KE201400000500,0.0,1.0,0.0,1.0
KE201400000501,0.0,0.0,0.0,0.0
KE201400000502,0.0,0.0,0.0,0.0
KE201400000503,0.0,0.0,0.0,0.0
KE201400000504,0.0,1.0,0.0,1.0
KE201400000505,0.0,0.0,0.0,0.0
KE201400000506,0.0,0.0,0.0,0.0
KE201400000507,0.0,0.0,0.0,0.0
KE201400000508,0.0,0.0,1.0,1.0
KE201400000509,0.0,0.0,0.0,0.0
KE201400000510,0.0,0.0,0.0,0.0
KE201400000511,0.0,1.0,0.0,1.0
KE201400000512,0.0,0.0,0.0,0.0
KE201400000513,0.0,0.0,0.0,0.0
KE201400000514,0.0,0.0,1.0,1.0
KE201400000515,0.0,0.0,0.0,0.0
KE201400000516,0.0,0.0,0.0,0.0
KE201400000517,0.0,0.0,0.0,0.0
KE201400000518,0.0,0.0,1.0,1.0
KE201400000519,0.0,0.0,2.0,2.0
KE201400000520,0.0,0.0,2.0,2.0
KE201400000521,0.0,0.0,0.0,0.0
KE201400000522,0.0,0.0,0.0,0.0
KE201400000523,0.0,0.0,0.0,0.0
KE201400000524,0.0,0.0,2.0,2.0
KE201400000525,0.0,0.0,0.0,0.0
KE201400000526,0.0,0.0,0.0,0.0
KE201400000527,0.0,0.0,0.0,0.0
KE201400000528,0.0,0.0,0.0,0.0
KE201400000529,0.0,0.0,0.0,0.0
