DHSID,lodging_pois_count,other_pois_count,food_pois_count,services_pois_count,entertainment_pois_count,landmark_pois_count,education_pois_count,health_pois_count,retail_pois_count,all_pois_count
BD201800000433,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BD201800000434,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
BD201800000435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000436,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0
BD201800000437,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BD201800000438,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
BD201800000439,13.0,0.0,15.0,30.0,44.0,7.0,18.0,10.0,21.0,158.0
BD201800000440,1.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,5.0,13.0
BD201800000441,0.0,0.0,0.0,3.0,1.0,0.0,6.0,1.0,4.0,15.0
BD201800000442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000443,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0
BD201800000444,2.0,0.0,21.0,19.0,7.0,1.0,4.0,3.0,7.0,64.0
BD201800000445,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,9.0
BD201800000446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BD201800000447,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BD201800000448,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BD201800000449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BD201800000452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
BD201800000454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000456,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BD201800000457,3.0,0.0,7.0,5.0,3.0,2.0,4.0,1.0,9.0,34.0
BD201800000458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000459,0.0,0.0,1.0,6.0,2.0,0.0,2.0,1.0,4.0,16.0
BD201800000460,10.0,0.0,23.0,33.0,10.0,1.0,8.0,5.0,16.0,106.0
BD201800000461,0.0,0.0,0.0,16.0,4.0,0.0,8.0,1.0,2.0,31.0
BD201800000462,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
BD201800000463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BD201800000464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000465,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,8.0
BD201800000466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000467,1.0,0.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,10.0
BD201800000468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000469,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
BD201800000470,0.0,0.0,1.0,0.0,2.0,0.0,4.0,2.0,0.0,9.0
